Size (inputs)	Column Size (inputs)	Row Size (inputs)	Executors	Partitions per RDD	Cores per executor	GB RAM per executor	FFT (sec)
2	1	2	2	2	3	2	0.318179417
4	2	2	2	2	3	2	0.253094708
8	2	4	2	2	3	2	0.254807333
16	4	4	2	2	3	2	0.262573208
32	8	4	2	2	3	2	0.260598583
64	8	8	2	2	3	2	0.305368083
128	16	8	2	2	3	2	0.275359375
256	16	16	2	2	3	2	0.357302625
512	32	16	2	2	3	2	0.359672625
1024	32	32	2	2	3	2	0.424097208
2048	64	32	2	2	3	2	0.501415417
4096	64	64	2	2	3	2	0.767830751
8192	128	64	2	2	3	2	1.213031168
16384	128	128	2	2	3	2	2.384430835
32768	256	128	2	2	3	2	4.747141211
65536	256	256	2	2	3	2	6.137789587
131072	512	256	2	2	3	2	11.892388131
262144	512	512	2	2	3	2	18.680217884
524288	1024	512	2	2	3	2	29.921476013
1048576	1024	1024	2	2	3	2	80.275167454
4194304	2048	2048	2	2	3	2	253.319854491
4	2	2	2	3	3	2	2	0.299103416
4	2	2	2	3	3	2	2	0.251724167
524288	1024	512	512	2	2	3	2	31.345015015
4	2	2	2	3	3	2	2	0.260226125
4	2	2	2	3	3	2	2	0.2596075
4	2	2	2	3	3	2	2	0.242980375
16384	128	128	128	1	1	5	2	2.516378543
32768	256	128	128	1	1	5	2	4.539522502
32768	256	128	128	2	2	32	3	3.485240085
1024	32	32	32	2	2	32	3	0.636031917
2	1	2	2	1	1	2	2	0.402150376
2	1	2	2	2	2	2	2	0.423389501
32768	256	128	128	2	2	2	2	2.064963001
1048576	1024	1024	1024	2	2	2	2	25.471152137
1048576	1024	1024	1024	4	4	2	2	20.36893026
1048576	1024	1024	1024	8	8	2	2	18.490837216
1048576	1024	1024	1024	24	24	2	2	20.983303551
